FCC4h 	 48.06 	 9.10 	 76.47  
FCC4 	 60.84 	 7.29 	 64.65  
FCC6h 	 72.55 	 5.87 	 48.60  
FCC6 	 79.46 	 3.97 	 29.63  
FTT8h 	 82.49 	 1.08 	 11.35  
TTP7h 	 -84.46 	 -30.59 	 2.18  
CCP5 	 -83.52 	 -27.92 	 22.70  
CCP5h 	 -80.52 	 -27.98 	 44.01  
CCP3 	 -71.93 	 -26.76 	 62.55  
CCP3h 	 -60.03 	 -26.27 	 77.46  
CCP1 	 -44.21 	 -26.86 	 89.46  
CCP1h 	 -26.99 	 -25.19 	 97.45  
CCP2h 	 15.52 	 -24.79 	 100.85  
CCP2 	 33.11 	 -24.49 	 95.44  
CCP4h 	 51.58 	 -26.43 	 84.84  
CCP4 	 65.75 	 -25.91 	 70.64  
CCP6h 	 77.40 	 -26.07 	 55.13  
CCP6 	 83.57 	 -28.61 	 35.05  
TTP8h 	 85.44 	 -29.49 	 14.11  
FFT7h 	 -73.87 	 29.58 	 -8.85  
FFC5 	 -72.37 	 34.28 	 8.55  
FFC5h 	 -67.12 	 37.37 	 25.07  
FFC3 	 -59.15 	 41.41 	 38.71  
FFC3h 	 -49.55 	 43.71 	 52.31  
FFC1 	 -37.07 	 46.11 	 62.50  
FFC1h 	 -19.58 	 48.25 	 71.45  
FFC2h 	 11.30 	 48.14 	 74.46  
FFC2 	 30.08 	 47.43 	 68.04  
FFC4h 	 43.23 	 46.14 	 58.24  
FFC4 	 54.49 	 43.03 	 48.02  
FFC6h 	 64.26 	 39.34 	 34.28  
FFC6 	 70.50 	 36.86 	 17.54  
FFT8h 	 73.57 	 31.80 	 1.86  
TPP7h 	 -78.31 	 -62.25 	 5.27  
CPP5 	 -78.18 	 -62.43 	 25.09  
CPP5h 	 -75.50 	 -61.15 	 41.53  
CPP3 	 -68.51 	 -60.09 	 58.91  
CPP3h 	 -56.43 	 -60.16 	 74.95  
CPP1 	 -42.47 	 -60.84 	 85.56  
CPP1h 	 -26.14 	 -62.09 	 92.46  
CPP2h 	 10.74 	 -60.32 	 97.33  
CPP2 	 29.54 	 -60.33 	 91.81  
CPP4h 	 44.32 	 -61.03 	 83.52  
CPP4 	 58.86 	 -60.83 	 70.60  
CPP6h 	 68.21 	 -60.77 	 56.47  
CPP6 	 74.54 	 -61.91 	 37.97  
TPP8h 	 77.18 	 -62.38 	 20.70  
AFF7h 	 -61.29 	 57.40 	 -13.02  
AFF5 	 -57.32 	 61.27 	 -0.29  
AFF5h 	 -53.10 	 63.48 	 10.42  
AFF3 	 -47.22 	 66.40 	 22.43  
AFF3h 	 -39.51 	 70.16 	 28.92  
AFF1 	 -29.46 	 72.51 	 37.04  
AFF1h 	 -17.62 	 73.64 	 43.39  
AFF2h 	 5.55 	 74.21 	 47.74  
AFF2 	 17.48 	 73.56 	 44.63  
AFF4h 	 30.73 	 72.17 	 38.66  
AFF4 	 38.37 	 70.77 	 32.34  
AFF6h 	 47.11 	 67.67 	 21.62  
AFF6 	 52.60 	 64.83 	 12.38  
AFF8h 	 56.96 	 61.60 	 0.35  
PPO7h 	 -66.49 	 -87.05 	 8.18  
PPO5 	 -64.04 	 -88.50 	 22.73  
PPO5h 	 -59.46 	 -90.14 	 34.39  
PPO3 	 -54.35 	 -90.08 	 46.21  
PPO3h 	 -44.58 	 -90.90 	 58.02  
PPO1 	 -33.63 	 -91.31 	 65.36  
PPO1h 	 -20.41 	 -92.92 	 69.23  
PPO2h 	 7.12 	 -92.52 	 72.03  
PPO2 	 18.49 	 -92.32 	 69.64  
PPO4h 	 32.63 	 -91.67 	 63.76  
PPO4 	 43.37 	 -92.16 	 54.93  
PPO6h 	 51.18 	 -91.41 	 44.28  
PPO6 	 57.16 	 -90.38 	 31.35  
PPO8h 	 61.41 	 -89.06 	 20.23  
